Designator,Mid X,Mid Y,Rotation,Layer
D155,333.4155,-188.722,180.0,top
D156,352.4655,-188.722,180.0,top
D157,383.4535,-188.722,180.0,top
D158,423.8395,-188.722,180.0,top
D16,175.7385,-172.72,0.0,top
D161,140.6295,-207.772,180.0,top
D162,152.5675,-207.772,180.0,top
D163,171.6175,-207.772,180.0,top
D164,190.4135,-207.772,180.0,top
D165,209.7175,-207.772,180.0,top
D166,228.7675,-207.772,180.0,top
D167,247.8175,-207.772,180.0,top
D168,266.8675,-207.772,180.0,top
D169,285.9175,-207.772,180.0,top
D17,166.0865,-191.77,0.0,top
D170,304.9675,-207.772,180.0,top
D171,324.0175,-207.772,180.0,top
D172,369.2295,-207.772,180.0,top
D173,405.0435,-217.17,180.0,top
D174,342.855,-207.645,180.0,top
D177,130.9775,-226.822,180.0,top
D178,154.8535,-226.822,180.0,top
D179,178.7295,-226.822,180.0,top
D18,173.1985,-210.82,0.0,top
D180,250.1495,-226.822,180.0,top
D181,319.2375,-226.822,180.0,top
D182,338.4955,-226.822,180.0,top
D183,357.2915,-226.822,180.0,top
D184,385.7395,-236.22,180.0,top
D185,405.0435,-236.22,180.0,top
D186,423.8395,-236.22,180.0,top
D19,189.9625,-105.918,0.0,top
D2,123.1605,-134.62,0.0,top
D20,180.3105,-134.62,0.0,top
D21,189.9625,-153.67,0.0,top
D22,194.5345,-172.72,0.0,top
D23,185.1365,-191.77,0.0,top
D24,244.5725,-210.82,0.0,top
D25,218.4105,-105.918,0.0,top
D26,199.3605,-134.62,0.0,top
D27,209.0125,-153.67,0.0,top
D28,213.8385,-172.72,0.0,top
D29,204.1865,-191.77,0.0,top
D3,127.9865,-153.67,0.0,top
D30,313.6605,-210.82,0.0,top
D31,237.4605,-105.918,0.0,top
D32,218.4105,-134.62,0.0,top
D33,228.0625,-153.67,0.0,top
D34,232.6345,-172.72,0.0,top
D35,223.2365,-191.77,0.0,top
D36,332.7105,-210.82,0.0,top
D37,256.5105,-105.918,0.0,top
D38,237.4605,-134.62,0.0,top
D39,247.1125,-153.67,0.0,top
D4,130.2725,-172.72,0.0,top
D40,251.6845,-172.72,0.0,top
D41,242.2865,-191.77,0.0,top
D42,351.7605,-210.82,0.0,top
D43,286.4485,-106.172,0.0,top
D44,256.5105,-134.62,0.0,top
D45,266.1625,-153.67,0.0,top
D46,270.9885,-172.72,0.0,top
D47,261.3365,-191.77,0.0,top
D48,380.4625,-220.218,0.0,top
D49,304.2625,-105.918,0.0,top
D5,125.7005,-191.77,0.0,top
D50,275.5605,-134.62,0.0,top
D51,285.2125,-153.67,0.0,top
D52,290.0385,-172.72,0.0,top
D53,280.3865,-191.77,0.0,top
D54,399.5125,-220.218,0.0,top
D55,323.3125,-105.918,0.0,top
D56,294.6105,-134.62,0.0,top
D57,304.2625,-153.67,0.0,top
D58,309.0885,-172.72,0.0,top
D59,299.4365,-191.77,0.0,top
D6,127.9185,-210.82,180.0,top
D60,418.5625,-220.218,0.0,top
D61,342.3625,-105.918,0.0,top
D62,313.9145,-134.62,0.0,top
D63,323.3125,-153.67,0.0,top
D64,328.1385,-172.72,0.0,top
D65,318.4185,-191.77,0.0,top
D67,361.4125,-106.172,0.0,top
D68,332.7105,-134.62,0.0,top
D69,342.3625,-153.67,0.0,top
D7,151.8625,-106.172,0.0,top
D70,347.1885,-172.72,0.0,top
D71,363.6985,-191.77,0.0,top
D73,389.8605,-106.172,0.0,top
D74,351.7605,-134.62,0.0,top
D75,361.4125,-153.67,0.0,top
D76,378.1765,-172.72,0.0,top
D77,399.5125,-201.422,0.0,top
D79,418.8165,-105.918,0.0,top
D8,142.2105,-134.62,0.0,top
D80,380.7165,-134.62,0.0,top
D81,385.2885,-153.67,0.0,top
D82,418.5625,-172.72,0.0,top
D83,337.464,-191.897,0.0,top
D86,418.2745,-134.62,0.0,top
D87,418.5625,-153.67,0.0,top
D9,151.8625,-153.67,0.0,top
D97,128.6915,-121.92,180.0,top
D98,157.3935,-121.92,180.0,top
D99,176.1895,-121.92,180.0,top
J2,253.109638,-73.525728,60.0,top
J3,260.729638,-60.3275,60.0,top
J4,241.1095,-92.329,90.0,top
J5,224.2185,-92.329,90.0,top
J6,232.7275,-92.329,90.0,top
Q1,232.9815,-81.28,270.0,top
Q2,241.4905,-81.28,270.0,top
Q3,224.5995,-81.28,270.0,top
R1,295.5925,-220.345,180.0,bottom
R10,258.8255,-122.174,0.0,top
R11,278.3835,-122.174,0.0,top
R12,306.1975,-122.174,0.0,top
R13,325.8815,-122.174,0.0,top
R14,344.6775,-122.174,0.0,top
R15,363.7275,-122.174,0.0,top
R16,392.4295,-122.174,0.0,top
R17,420.8775,-122.174,0.0,top
R20,125.4755,-150.876,0.0,top
R21,144.7795,-150.876,0.0,top
R22,163.5755,-150.876,0.0,top
R23,182.6255,-150.876,0.0,top
R24,201.6755,-150.876,0.0,top
R25,220.9795,-150.876,0.0,top
R26,239.7755,-150.876,0.0,top
R27,258.5715,-150.876,0.0,top
R28,277.8755,-150.876,0.0,top
R29,296.9255,-150.876,0.0,top
R30,315.9755,-150.876,0.0,top
R31,335.2795,-150.816,0.0,top
R32,354.0755,-150.876,0.0,top
R33,382.7775,-150.876,0.0,top
R34,420.7515,-150.876,0.0,top
R36,129.7935,-169.926,0.0,top
R37,153.4155,-169.926,0.0,top
R38,172.9735,-169.926,0.0,top
R39,191.7695,-169.926,0.0,top
R4,125.7295,-122.174,0.0,top
R40,210.8195,-169.926,0.0,top
R41,229.8695,-169.926,0.0,top
R42,249.4275,-169.926,0.0,top
R43,268.2235,-169.926,0.0,top
R44,287.2735,-169.926,0.0,top
R45,306.0695,-169.926,0.0,top
R46,324.8655,-169.926,0.0,top
R47,344.4235,-169.926,0.0,top
R48,363.2195,-169.926,0.0,top
R49,387.3495,-169.926,0.0,top
R5,154.4315,-122.174,0.0,top
R50,419.8615,-169.926,0.0,top
R52,132.5875,-188.976,0.0,top
R53,158.4955,-188.976,0.0,top
R54,177.5455,-188.976,0.0,top
R55,196.5955,-188.976,0.0,top
R56,215.3915,-188.976,0.0,top
R57,234.9495,-188.976,0.0,top
R58,253.2375,-188.976,0.0,top
R59,272.7955,-188.976,0.0,top
R6,173.2275,-122.174,0.0,top
R60,291.8455,-188.976,0.0,top
R61,310.6415,-188.976,0.0,top
R62,329.9455,-188.976,0.0,top
R63,348.9955,-188.976,0.0,top
R64,379.9835,-188.976,0.0,top
R65,420.8775,-188.976,0.0,top
R68,137.6675,-208.026,0.0,top
R69,149.3515,-208.026,0.0,top
R7,192.5315,-122.174,0.0,top
R70,167.8935,-208.026,0.0,top
R71,186.9435,-208.026,0.0,top
R72,205.9935,-208.026,0.0,top
R73,225.0435,-208.026,0.0,top
R74,243.8395,-208.026,0.0,top
R75,262.6355,-208.026,0.0,top
R76,282.4475,-208.026,0.0,top
R77,301.7515,-208.026,0.0,top
R78,320.5475,-208.026,0.0,top
R79,365.5055,-208.026,0.0,top
R8,221.2335,-122.174,0.0,top
R80,401.8275,-217.424,0.0,top
R81,339.975,-207.899,0.0,top
R84,126.9995,-227.076,0.0,top
R85,150.8755,-227.076,0.0,top
R86,175.0055,-227.076,0.0,top
R87,246.3795,-227.076,0.0,top
R88,315.7215,-227.076,0.0,top
R89,334.5175,-227.076,0.0,top
R9,240.0295,-122.174,0.0,top
R90,353.8215,-227.076,0.0,top
R91,382.0155,-236.474,0.0,top
R92,401.1935,-236.474,0.0,top
R93,420.3065,-236.474,0.0,top
SW1,131.1275,-109.22,0.0,top
SW10,164.465,-175.895,0.0,top
SW11,154.94,-194.945,0.0,top
SW12,157.32125,-213.995,0.0,top
SW13,178.7525,-109.22,0.0,top
SW14,169.2275,-137.795,0.0,top
SW15,178.7525,-156.845,0.0,top
SW16,183.515,-175.895,0.0,top
SW17,173.99,-194.945,0.0,top
SW18,181.13375,-213.995,0.0,top
SW19,197.8025,-109.22,0.0,top
SW2,131.1275,-137.795,0.0,top
SW20,188.2775,-137.795,0.0,top
SW21,197.8025,-156.845,0.0,top
SW22,202.565,-175.895,0.0,top
SW23,193.04,-194.945,0.0,top
SW24,252.57125,-213.995,0.0,top
SW25,226.3775,-109.22,0.0,top
SW26,207.3275,-137.795,0.0,top
SW27,216.8525,-156.845,0.0,top
SW28,221.615,-175.895,0.0,top
SW29,212.09,-194.945,0.0,top
SW3,135.89,-156.845,0.0,top
SW30,321.6275,-213.995,0.0,top
SW31,245.4275,-109.22,0.0,top
SW32,226.3775,-137.795,0.0,top
SW33,235.9025,-156.845,0.0,top
SW34,240.665,-175.895,0.0,top
SW35,231.14,-194.945,0.0,top
SW36,340.6775,-213.995,0.0,top
SW37,264.4775,-109.22,0.0,top
SW38,245.4275,-137.795,0.0,top
SW39,254.9525,-156.845,0.0,top
SW4,138.27125,-175.895,0.0,top
SW40,259.715,-175.895,0.0,top
SW41,250.19,-194.945,0.0,top
SW42,359.7275,-213.995,0.0,top
SW43,283.5275,-109.22,0.0,top
SW44,264.4775,-137.795,0.0,top
SW45,274.0025,-156.845,0.0,top
SW46,278.765,-175.895,0.0,top
SW47,269.24,-194.945,0.0,top
SW48,388.3025,-223.52,0.0,top
SW49,312.1025,-109.22,0.0,top
SW5,133.50875,-194.945,0.0,top
SW50,283.5275,-137.795,0.0,top
SW51,293.0525,-156.845,0.0,top
SW52,297.815,-175.895,0.0,top
SW53,288.29,-194.945,0.0,top
SW54,407.3525,-223.52,0.0,top
SW55,331.1525,-109.22,0.0,top
SW56,302.5775,-137.795,0.0,top
SW57,312.1025,-156.845,0.0,top
SW58,316.865,-175.895,0.0,top
SW59,307.34,-194.945,0.0,top
SW6,133.50875,-213.995,0.0,top
SW60,426.4025,-223.52,0.0,top
SW61,350.2025,-109.22,0.0,top
SW62,321.6275,-137.795,0.0,top
SW63,331.1525,-156.845,0.0,top
SW64,335.915,-175.895,0.0,top
SW65,326.39,-194.945,0.0,top
SW67,369.2525,-109.22,0.0,top
SW68,340.6775,-137.795,0.0,top
SW69,350.2025,-156.845,0.0,top
SW7,159.7025,-109.22,0.0,top
SW70,354.965,-175.895,0.0,top
SW71,371.63375,-194.945,0.0,top
SW76,397.8275,-109.22,0.0,top
SW77,359.7275,-137.795,0.0,top
SW78,369.2525,-156.845,0.0,top
SW79,385.92125,-175.895,0.0,top
SW8,150.1775,-137.795,0.0,top
SW80,407.3525,-204.47,0.0,top
SW82,426.4025,-109.22,0.0,top
SW83,388.3025,-137.795,0.0,top
SW84,393.065,-156.845,0.0,top
SW85,426.4025,-175.895,0.0,top
SW86,345.44,-194.945,0.0,top
SW89,426.085,-137.795,0.0,top
SW9,159.7025,-156.845,0.0,top
SW90,426.4025,-156.845,0.0,top
