Designator,Mid X,Mid Y,Rotation,Layer
D1,123.1605,-106.172,0.0,top
D10,156.4345,-172.72,0.0,top
D100,195.2395,-121.92,180.0,top
D101,223.9415,-121.92,180.0,top
D102,242.9915,-121.92,180.0,top
D103,262.0415,-121.92,180.0,top
D104,281.0915,-121.92,180.0,top
D105,309.2855,-121.92,180.0,top
D106,328.5895,-121.92,180.0,top
D107,347.6395,-121.92,180.0,top
D108,366.6895,-121.92,180.0,top
D109,395.3915,-121.92,180.0,top
D11,147.0365,-191.77,0.0,top
D110,423.8395,-121.92,180.0,top
D113,128.6915,-150.622,180.0,top
D114,147.7645,-150.622,180.0,top
D115,166.5605,-150.622,180.0,top
D116,185.5875,-150.622,180.0,top
D117,204.6375,-150.622,180.0,top
D118,223.9415,-150.622,180.0,top
D119,242.7375,-150.622,180.0,top
D12,151.8625,-211.074,180.0,top
D120,262.0415,-150.622,180.0,top
D121,281.0915,-150.622,180.0,top
D122,300.1415,-150.622,180.0,top
D123,319.1915,-150.622,180.0,top
D124,338.2415,-150.622,180.0,top
D125,357.2915,-150.622,180.0,top
D126,385.9935,-150.622,180.0,top
D127,423.8395,-150.622,180.0,top
D129,133.5175,-169.672,180.0,top
D13,170.9125,-105.918,0.0,top
D130,157.1395,-169.672,180.0,top
D131,176.4435,-169.672,180.0,top
D132,195.2395,-169.672,180.0,top
D133,214.2895,-169.672,180.0,top
D134,233.3395,-169.672,180.0,top
D135,252.6435,-169.672,180.0,top
D136,271.4395,-169.672,180.0,top
D137,290.7435,-169.672,180.0,top
D138,309.5395,-169.672,180.0,top
D139,328.5895,-169.672,180.0,top
D14,161.2605,-134.62,0.0,top
D140,347.6395,-169.672,180.0,top
D141,366.6895,-169.672,180.0,top
D142,390.8195,-169.672,180.0,top
D143,423.8395,-169.672,180.0,top
D145,135.8035,-188.722,180.0,top
D146,161.9655,-188.722,180.0,top
D147,181.2695,-188.722,180.0,top
D148,200.0655,-188.722,180.0,top
D149,219.1155,-188.722,180.0,top
D15,170.9125,-153.67,0.0,top
D150,238.4195,-188.722,180.0,top
D151,257.2155,-188.722,180.0,top
D152,276.2655,-188.722,180.0,top
D153,295.3155,-188.722,180.0,top
D154,314.3655,-188.722,180.0,top
