Designator,Mid X,Mid Y,Rotation,Layer
D1,170.368398,-106.199398,0.0,top
D10,342.326398,-106.199398,0.0,top
D100,219.576398,-103.405398,0.0,top
D101,238.626398,-103.405398,0.0,top
D102,257.676398,-103.405398,0.0,top
D103,276.472398,-103.405398,0.0,top
D104,295.776398,-103.405398,0.0,top
D105,314.572398,-103.405398,0.0,top
D106,333.876398,-103.405398,0.0,top
D107,352.926398,-103.405398,0.0,top
D108,371.722398,-103.405398,0.0,top
D109,145.662398,-179.605398,0.0,top
D11,361.376398,-106.199398,0.0,top
D110,169.284398,-179.605398,0.0,top
D111,193.414398,-179.605398,0.0,top
D112,264.788398,-179.605398,0.0,top
D113,333.5315,-179.605398,0.0,top
D114,352.5815,-179.605398,0.0,top
D115,371.6315,-179.605398,0.0,top
D116,390.7495,-179.605398,180.0,top
D117,410.0535,-179.451,180.0,top
D118,405.9895,-160.655,180.0,top
D119,123.2535,-141.605,0.0,top
D12,371.790398,-106.199398,180.0,top
D120,428.8155,-103.505,0.0,top
D121,186.048398,-160.555398,0.0,top
D122,205.352398,-160.555398,180.0,top
D123,223.962398,-160.555398,180.0,top
D124,243.266398,-160.555398,180.0,top
D125,262.316398,-160.555398,180.0,top
D126,281.366398,-160.555398,180.0,top
D127,300.416398,-160.555398,180.0,top
D128,319.212398,-160.555398,180.0,top
D129,338.516398,-160.555398,180.0,top
D13,122.9655,-163.195,0.0,top
D130,357.566398,-160.555398,180.0,top
D131,124.0155,-160.655,0.0,top
D132,143.122398,-103.405398,0.0,top
D133,124.0155,-122.555,180.0,top
D134,147.694398,-122.455398,0.0,top
D135,150.268398,-141.505398,0.0,top
D136,155.060398,-160.555398,0.0,top
D137,428.8155,-122.555,0.0,top
D138,390.332398,-103.405398,180.0,top
D139,405.504398,-122.455398,0.0,top
D14,175.634398,-125.249398,0.0,top
D140,398.646398,-141.505398,0.0,top
D141,380.3015,-160.555398,0.0,top
D142,428.7815,-141.605,0.0,top
D143,428.8155,-160.655,0.0,top
D144,429.0695,-179.705,0.0,top
D15,195.700398,-125.249398,0.0,top
D16,213.294398,-125.249398,0.0,top
D17,232.598398,-125.249398,0.0,top
D18,252.122398,-125.249398,0.0,top
D19,270.884398,-125.249398,0.0,top
D2,189.638398,-106.199398,180.0,top
D20,290.188398,-125.249398,0.0,top
D21,308.984398,-125.249398,0.0,top
D22,327.780398,-125.249398,0.0,top
D23,347.084398,-125.249398,0.0,top
D24,366.134398,-125.249398,0.0,top
D25,142.106398,-87.149398,0.0,top
D26,185.032398,-144.299398,0.0,top
D27,204.082398,-144.299398,0.0,top
D28,223.386398,-144.299398,0.0,top
D29,242.182398,-144.299398,0.0,top
D3,208.400398,-106.199398,0.0,top
D30,261.486398,-144.299398,0.0,top
D31,280.282398,-144.299398,0.0,top
D32,299.332398,-144.299398,0.0,top
D33,318.382398,-144.299398,0.0,top
D34,337.178398,-144.299398,0.0,top
D35,356.736398,-144.299398,0.0,top
D36,122.9655,-144.145,0.0,top
D37,370.706398,-87.149398,0.0,top
D38,160.902398,-87.149398,0.0,top
D39,180.206398,-87.149398,0.0,top
D4,227.704398,-106.199398,0.0,top
D40,199.256398,-87.149398,0.0,top
D41,218.560398,-87.149398,0.0,top
D42,237.356398,-87.149398,0.0,top
D43,256.406398,-87.149398,0.0,top
D44,275.710398,-87.149398,0.0,top
D45,294.506398,-87.149398,0.0,top
D46,313.810398,-87.149398,0.0,top
D47,333.114398,-87.149398,0.0,top
D48,351.656398,-87.149398,0.0,top
D49,427.7995,-86.995,0.0,top
D5,246.754398,-106.199398,0.0,top
D50,144.680398,-163.349398,0.0,top
D51,168.522398,-163.349398,0.0,top
D52,191.890398,-163.349398,0.0,top
D53,263.518398,-163.349398,0.0,top
D54,332.2955,-163.449,0.0,top
D55,351.8535,-163.349398,0.0,top
D56,370.8695,-163.349398,0.0,top
D57,389.6655,-163.349398,0.0,top
D58,409.2915,-163.449,180.0,top
D59,409.2235,-144.399,0.0,top
D6,265.872398,-106.199398,0.0,top
D60,122.9995,-125.095,0.0,top
D61,427.7995,-163.195,0.0,top
D62,122.9995,-106.045,0.0,top
D63,146.932398,-106.199398,0.0,top
D64,149.218398,-125.249398,0.0,top
D65,154.044398,-144.299398,0.0,top
D66,427.7995,-106.045,0.0,top
D67,399.408398,-87.149398,0.0,top
D68,403.980398,-106.199398,0.0,top
D69,396.614398,-125.249398,0.0,top
D7,284.634398,-106.199398,0.0,top
D70,376.7795,-144.145,180.0,top
D71,428.0535,-125.095,0.0,top
D72,427.8335,-144.145,0.0,top
D73,176.650398,-141.505398,0.0,top
D74,195.446398,-141.505398,0.0,top
D75,214.750398,-141.487398,0.0,top
D76,233.800398,-141.505398,0.0,top
D77,252.850398,-141.505398,0.0,top
D78,271.646398,-141.505398,0.0,top
D79,290.730398,-141.505398,0.0,top
D8,303.972398,-106.199398,0.0,top
D80,309.492398,-141.505398,0.0,top
D81,329.050398,-141.505398,0.0,top
D82,347.846398,-141.505398,0.0,top
D83,366.896398,-141.505398,0.0,top
D84,124.2695,-179.705,0.0,top
D85,171.638398,-122.455398,180.0,top
D86,190.688398,-122.455398,180.0,top
D87,209.738398,-122.455398,180.0,top
D88,228.974398,-122.455398,180.0,top
D89,247.838398,-122.455398,180.0,top
D9,322.768398,-106.199398,0.0,top
D90,266.888398,-122.455398,180.0,top
D91,285.938398,-122.455398,180.0,top
D92,305.174398,-122.455398,0.0,top
D93,324.038398,-122.455398,180.0,top
D94,343.020398,-122.455398,180.0,top
D95,362.324398,-122.455398,180.0,top
D96,381.628398,-122.455398,0.0,top
D97,162.172398,-103.405398,0.0,top
D98,181.476398,-103.405398,0.0,top
D99,200.526398,-103.405398,0.0,top
J1,264.4775,-53.975,0.0,top
J2,279.7175,-81.915,180.0,top
SW1,169.2275,-109.22,0.0,top
SW10,340.6775,-109.22,0.0,top
SW11,359.7275,-109.22,0.0,top
SW12,378.7775,-109.22,0.0,top
SW13,173.99,-128.27,0.0,top
SW14,193.04,-128.27,0.0,top
SW15,212.09,-128.27,0.0,top
SW16,231.14,-128.27,0.0,top
SW17,250.19,-128.27,0.0,top
SW18,269.24,-128.27,0.0,top
SW19,288.29,-128.27,0.0,top
SW2,188.2775,-109.22,0.0,top
SW20,307.34,-128.27,0.0,top
SW21,326.39,-128.27,0.0,top
SW22,345.44,-128.27,0.0,top
SW23,364.49,-128.27,0.0,top
SW24,121.6025,-166.37,0.0,top
SW25,183.515,-147.32,0.0,top
SW26,202.565,-147.32,0.0,top
SW27,221.615,-147.32,0.0,top
SW28,240.665,-147.32,0.0,top
SW29,259.715,-147.32,0.0,top
SW3,207.3275,-109.22,0.0,top
SW30,278.765,-147.32,0.0,top
SW31,297.815,-147.32,0.0,top
SW32,316.865,-147.32,0.0,top
SW33,335.915,-147.32,0.0,top
SW34,354.965,-147.32,0.0,top
SW35,121.6025,-147.32,0.0,top
SW36,140.6525,-90.17,0.0,top
SW37,159.7025,-90.17,0.0,top
SW38,178.7525,-90.17,0.0,top
SW39,197.8025,-90.17,0.0,top
SW4,226.3775,-109.22,0.0,top
SW40,216.8525,-90.17,0.0,top
SW41,235.9025,-90.17,0.0,top
SW42,254.9525,-90.17,0.0,top
SW43,274.0025,-90.17,0.0,top
SW44,293.0525,-90.17,0.0,top
SW45,312.1025,-90.17,0.0,top
SW46,331.1525,-90.17,0.0,top
SW47,350.2025,-90.17,0.0,top
SW48,369.2525,-90.17,0.0,top
SW49,143.03375,-166.37,0.0,top
SW5,245.4275,-109.22,0.0,top
SW50,166.84625,-166.37,0.0,top
SW51,190.65875,-166.37,0.0,top
SW52,262.09625,-166.37,0.0,top
SW53,331.1525,-166.37,0.0,top
SW54,350.2025,-166.37,0.0,top
SW55,369.2525,-166.37,0.0,top
SW56,388.3025,-166.37,0.0,top
SW57,407.3525,-166.37,0.0,top
SW58,407.3525,-147.32,0.0,top
SW59,121.6025,-128.27,0.0,top
SW6,264.4775,-109.22,0.0,top
SW60,426.4025,-90.17,0.0,top
SW61,121.6025,-109.22,0.0,top
SW62,145.415,-109.22,0.0,top
SW63,147.79625,-128.27,0.0,top
SW64,152.55875,-147.32,0.0,top
SW65,426.4025,-109.22,0.0,top
SW66,397.8275,-90.17,0.0,top
SW67,402.59,-109.22,0.0,top
SW68,395.4525,-128.27,0.0,top
SW69,381.15875,-147.32,0.0,top
SW7,283.5275,-109.22,0.0,top
SW70,426.4025,-128.27,0.0,top
SW71,426.4025,-147.32,0.0,top
SW72,426.4025,-166.37,0.0,top
SW8,302.5775,-109.22,0.0,top
SW9,321.6275,-109.22,0.0,top
